date,description,amount,balance,category
2025-01-26,CHECKERS,-135.17,1026359.13,groceries
2025-01-26,KFC,-177.8,859953.17,restaurants
2025-01-26,BP FUEL,-492.51,555594.47,transport
2025-01-26,KFC,-637.84,856161.9,restaurants
2025-01-26,UBER TRIP,-678.68,451746.37,transport
2025-01-27,ELECTRICITY PREPAID,-958.62,1518475.17,utilities
2025-01-27,CHECKERS,-555.29,1032559.87,groceries
2025-01-28,BOLT RIDE,-1184.88,1318193.67,transport
2025-01-28,MCDONALDS,-872.2,861132.39,restaurants
2025-01-28,DSTV,-238.14,736244.0,entertainment
2025-01-28,CITY OF CAPE TOWN WATER,-33.13,1026494.3,utilities
2025-01-29,DSTV,-461.53,576619.26,entertainment
2025-01-29,MTN AIRTIME,-579.25,121145.69,utilities
2025-01-29,MCDONALDS,-289.06,868202.54,restaurants
2025-01-30,FREELANCE PAYMENT,19807.51,928268.38,income
2025-01-30,CHECKERS,-136.64,807299.61,groceries
2025-01-30,SPOTIFY,-807.34,1330454.03,entertainment
2025-01-31,SALARY ACME LTD,13916.45,1689490.18,income
2025-02-01,VODACOM BILL,-1019.67,907570.49,utilities
2025-02-01,PICK N PAY,-566.53,1402396.04,groceries
2025-02-01,TRANSFER FROM SAVINGS,23490.67,1341684.34,income
2025-02-02,MTN AIRTIME,-1249.73,221983.76,utilities
2025-02-02,WOOLWORTHS,-408.36,1384689.12,groceries
2025-02-02,MTN AIRTIME,-531.81,897000.73,utilities
2025-02-02,TRANSFER FROM SAVINGS,5342.41,575572.42,income
2025-02-03,FREELANCE PAYMENT,3409.9,810576.93,income
2025-02-03,STEAM PURCHASE,-1082.72,730281.27,entertainment
2025-02-03,VODACOM BILL,-1011.64,1601411.11,utilities
2025-02-03,BP FUEL,-1232.16,622297.66,transport
2025-02-03,UBER TRIP,-1023.48,1320310.61,transport
2025-02-05,BP FUEL,-1424.29,1586662.7,transport
2025-02-05,SHELL PETROL,-1247.7,891100.23,transport
2025-02-05,VODACOM BILL,-758.29,1295814.68,utilities
2025-02-06,SPOTIFY,-555.3,571657.49,entertainment
2025-02-06,ELECTRICITY PREPAID,-1454.93,1679721.85,utilities
2025-02-07,SPOTIFY,-70.36,1539918.91,entertainment
2025-02-07,FREELANCE PAYMENT,14823.11,1416320.05,income
2025-02-07,CHECKERS,-160.47,867046.53,groceries
2025-02-08,BP FUEL,-696.07,1449811.92,transport
2025-02-08,UBER TRIP,-1195.74,1534061.12,transport
2025-02-09,MTN AIRTIME,-1375.05,792613.11,utilities
2025-02-09,SPOTIFY,-130.14,250771.62,entertainment
2025-02-09,MCDONALDS,-1316.63,1661530.31,restaurants
2025-02-12,NANDO'S,-212.85,872933.68,restaurants
2025-02-12,CITY OF CAPE TOWN WATER,-143.86,1449668.06,utilities
2025-02-12,TRANSFER FROM SAVINGS,13255.05,1394217.54,income
2025-02-13,SPOTIFY,-608.03,661016.89,entertainment
2025-02-13,FREELANCE PAYMENT,9051.14,586999.4,income
2025-02-15,CHECKERS,-1116.17,454159.49,groceries
2025-02-15,CHECKERS,-371.69,90971.09,groceries
2025-02-15,DSTV,-749.19,1381140.72,entertainment
2025-02-16,DSTV,-709.64,952078.53,entertainment
2025-02-16,UBER TRIP,-601.39,625387.56,transport
2025-02-16,SHELL PETROL,-1375.96,83006.01,transport
2025-02-18,ELECTRICITY PREPAID,-695.07,1498099.52,utilities
2025-02-18,SPOTIFY,-1080.1,707836.76,entertainment
2025-02-19,SALARY ACME LTD,2361.43,1033646.93,income
2025-02-19,MTN AIRTIME,-639.23,893151.85,utilities
2025-02-20,STEAM PURCHASE,-171.85,864467.08,entertainment
2025-02-20,UBER TRIP,-913.9,884182.56,transport
2025-02-20,STEAM PURCHASE,-248.78,907321.71,entertainment
2025-02-21,FREELANCE PAYMENT,15591.06,1655635.02,income
2025-02-21,REFUND,22715.26,787955.81,income
2025-02-21,UBER TRIP,-85.69,1538627.06,transport
2025-02-21,SALARY ACME LTD,13054.14,530155.87,income
2025-02-22,CITY OF CAPE TOWN WATER,-1478.59,86392.06,utilities
2025-02-22,DSTV,-750.77,3788.31,entertainment
2025-02-23,CHECKERS,-242.95,1688944.85,groceries
2025-02-23,MCDONALDS,-959.63,571586.99,restaurants
2025-02-23,SPOTIFY,-26.72,1693299.99,entertainment
2025-02-23,REFUND,3251.16,819546.95,income
2025-02-23,BOLT RIDE,-1440.03,570655.51,transport
2025-02-23,BOLT RIDE,-1226.05,1498794.59,transport
2025-02-23,MTN AIRTIME,-1433.52,904799.13,utilities
2025-02-25,VODACOM BILL,-682.36,1465690.69,utilities
2025-02-25,STEERS,-254.0,87121.07,restaurants
2025-02-26,PICK N PAY,-445.66,890631.71,groceries
2025-02-26,SHELL PETROL,-879.95,901055.71,transport
2025-02-26,NANDO'S,-112.74,908590.16,restaurants
2025-02-26,STEERS,-764.94,237928.54,restaurants
2025-02-26,CITY OF CAPE TOWN WATER,-938.55,569643.06,utilities
2025-02-26,ELECTRICITY PREPAID,-436.18,1407030.43,utilities
2025-02-28,UBER TRIP,-1425.13,1197634.94,transport
2025-03-01,ELECTRICITY PREPAID,-237.58,832958.79,utilities
2025-03-01,BP FUEL,-1126.34,607583.48,transport
2025-03-02,WOOLWORTHS,-397.91,1577141.73,groceries
2025-03-02,WOOLWORTHS,-1025.34,876391.82,groceries
2025-03-03,MTN AIRTIME,-585.69,857761.76,utilities
2025-03-03,UBER TRIP,-1201.34,891077.37,transport
2025-03-03,STEAM PURCHASE,-1396.35,523811.75,entertainment
2025-03-03,SPAR,-399.35,945361.35,groceries
2025-03-04,BOLT RIDE,-454.27,406961.32,transport
2025-03-04,KFC,-606.59,65768.1,restaurants
2025-03-05,PICK N PAY,-1483.15,701938.61,groceries
2025-03-06,MCDONALDS,-309.35,899539.86,restaurants
2025-03-07,SHELL PETROL,-1237.05,807167.03,transport
2025-03-07,NANDO'S,-1058.36,926381.13,restaurants
2025-03-07,BOLT RIDE,-1168.9,1500110.26,transport
2025-03-07,UBER TRIP,-1089.37,489818.13,transport
2025-03-07,STEERS,-622.15,524093.42,restaurants
2025-03-07,NETFLIX.COM,-191.76,1381889.91,entertainment
2025-03-07,UBER TRIP,-955.84,1184176.27,transport
2025-03-07,UBER TRIP,-864.87,624522.69,transport
2025-03-07,ELECTRICITY PREPAID,-270.62,888514.87,utilities
2025-03-08,ELECTRICITY PREPAID,-1437.5,835303.24,utilities
2025-03-08,SHELL PETROL,-651.78,1683317.7,transport
2025-03-08,FREELANCE PAYMENT,22337.29,143482.98,income
2025-03-09,VODACOM BILL,-551.89,1712660.75,utilities
2025-03-10,SPAR,-761.74,450984.63,groceries
2025-03-10,FREELANCE PAYMENT,11188.24,1543818.04,income
2025-03-10,UBER TRIP,-438.01,452600.8,transport
2025-03-10,TRANSFER FROM SAVINGS,2722.45,1542526.13,income
2025-03-10,ELECTRICITY PREPAID,-610.33,1031949.54,utilities
2025-03-11,SPOTIFY,-1167.09,865879.44,entertainment
2025-03-11,UBER TRIP,-694.54,832264.25,transport
2025-03-11,ELECTRICITY PREPAID,-352.39,1111740.18,utilities
2025-03-11,NETFLIX.COM,-1045.34,1037602.31,entertainment
2025-03-12,STEERS,-706.19,1019946.7,restaurants
2025-03-12,REFUND,16062.84,417910.25,income
2025-03-12,VODACOM BILL,-157.55,1503358.03,utilities
2025-03-12,VODACOM BILL,-736.96,860838.16,utilities
2025-03-13,NETFLIX.COM,-1176.21,1496651.36,entertainment
2025-03-13,WOOLWORTHS,-1201.48,1502156.55,groceries
2025-03-13,KFC,-1058.09,1710281.37,restaurants
2025-03-14,FREELANCE PAYMENT,4539.17,524715.57,income
2025-03-14,REFUND,21451.93,737950.84,income
2025-03-14,CITY OF CAPE TOWN WATER,-1091.96,1148306.33,utilities
2025-03-15,STEERS,-87.0,1031862.54,restaurants
2025-03-15,TRANSFER FROM SAVINGS,9837.32,270117.6,income
2025-03-15,STEERS,-207.44,1019739.26,restaurants
2025-03-15,VODACOM BILL,-915.62,1382498.61,utilities
2025-03-16,SALARY ACME LTD,4450.63,1397398.92,income
2025-03-16,SPAR,-668.75,1083144.97,groceries
2025-03-17,DSTV,-980.94,1201293.23,entertainment
2025-03-18,FREELANCE PAYMENT,16490.01,407415.59,income
2025-03-18,TRANSFER FROM SAVINGS,7749.16,1156055.49,income
2025-03-19,PICK N PAY,-31.06,1681349.54,groceries
2025-03-19,FREELANCE PAYMENT,19608.44,40635.86,income
2025-03-19,DSTV,-677.95,660338.94,entertainment
2025-03-20,STEAM PURCHASE,-1233.98,424412.29,entertainment
2025-03-20,NETFLIX.COM,-1430.9,1393756.05,entertainment
2025-03-20,VODACOM BILL,-926.97,521928.89,utilities
2025-03-21,MCDONALDS,-695.32,1219526.67,restaurants
2025-03-21,FREELANCE PAYMENT,18481.55,1562299.59,income
2025-03-21,VODACOM BILL,-982.72,1354171.54,utilities
2025-03-21,NETFLIX.COM,-1343.77,1316689.29,entertainment
2025-03-21,CHECKERS,-1119.09,1687825.76,groceries
2025-03-22,STEAM PURCHASE,-771.71,878298.69,entertainment
2025-03-22,BP FUEL,-1152.57,121724.94,transport
2025-03-22,STEAM PURCHASE,-1462.6,864374.78,entertainment
2025-03-22,REFUND,24828.22,1183756.17,income
2025-03-23,SPAR,-964.12,223233.49,groceries
2025-03-24,UBER TRIP,-824.14,261496.99,transport
2025-03-25,BOLT RIDE,-373.1,1624580.09,transport
2025-03-25,SHELL PETROL,-1165.19,405796.13,transport
2025-03-25,SHELL PETROL,-1115.57,861575.12,transport
2025-03-26,SPOTIFY,-867.56,1023590.4,entertainment
2025-03-26,STEAM PURCHASE,-753.27,860379.12,entertainment
2025-03-26,WOOLWORTHS,-696.25,201856.19,groceries
2025-03-27,VODACOM BILL,-166.8,63140.22,utilities
2025-03-27,SALARY ACME LTD,21417.87,1357094.12,income
2025-03-27,MCDONALDS,-1308.84,1655554.45,restaurants
2025-03-28,WOOLWORTHS,-828.89,927439.49,groceries
2025-03-28,REFUND,22933.42,976939.44,income
2025-03-28,MTN AIRTIME,-945.21,580013.66,utilities
2025-03-28,SALARY ACME LTD,8917.18,1202274.17,income
2025-03-28,SPAR,-1474.99,862690.69,groceries
2025-03-29,REFUND,17818.05,908702.9,income
2025-03-29,ELECTRICITY PREPAID,-1066.58,889565.13,utilities
2025-03-29,MCDONALDS,-741.23,873146.53,restaurants
2025-03-29,MCDONALDS,-410.86,861714.95,restaurants
2025-03-29,PICK N PAY,-1349.09,908836.86,groceries
2025-03-30,SPAR,-1363.09,1031664.96,groceries
2025-03-30,PICK N PAY,-299.37,1031365.59,groceries
2025-03-30,BP FUEL,-1071.13,716498.91,transport
2025-03-31,SHELL PETROL,-1240.51,864638.93,transport
2025-03-31,NETFLIX.COM,-133.58,1395899.66,entertainment
2025-04-02,CITY OF CAPE TOWN WATER,-1089.06,906232.65,utilities
2025-04-02,WOOLWORTHS,-1160.94,636822.69,groceries
2025-04-02,NETFLIX.COM,-1169.79,1574196.26,entertainment
2025-04-03,NANDO'S,-1499.55,1385097.48,restaurants
2025-04-03,MTN AIRTIME,-1302.94,1500853.61,utilities
2025-04-04,WOOLWORTHS,-1257.17,1231655.33,groceries
2025-04-05,MTN AIRTIME,-1331.47,1684655.32,utilities
2025-04-06,MCDONALDS,-609.82,1280825.61,restaurants
2025-04-06,VODACOM BILL,-1001.55,192227.88,utilities
2025-04-06,BOLT RIDE,-714.96,708916.86,transport
2025-04-06,MTN AIRTIME,-168.88,398179.48,utilities
2025-04-07,STEAM PURCHASE,-318.95,1393898.59,entertainment
2025-04-07,BP FUEL,-999.46,570230.01,transport
2025-04-07,SALARY ACME LTD,14748.12,874701.29,income
2025-04-07,STEAM PURCHASE,-1437.49,1540320.71,entertainment
2025-04-07,MTN AIRTIME,-176.3,1496790.3,utilities
2025-04-08,NETFLIX.COM,-558.01,1051454.16,entertainment
2025-04-08,FREELANCE PAYMENT,22212.45,491246.17,income
2025-04-08,CITY OF CAPE TOWN WATER,-87.07,621479.78,utilities
2025-04-09,STEERS,-201.88,80646.42,restaurants
2025-04-09,SALARY ACME LTD,24730.17,888207.74,income
2025-04-10,CHECKERS,-433.72,833196.37,groceries
2025-04-10,STEERS,-858.62,1059117.77,restaurants
2025-04-11,SHELL PETROL,-1318.32,1401503.01,transport
2025-04-11,ELECTRICITY PREPAID,-418.14,904380.99,utilities
2025-04-11,TRANSFER FROM SAVINGS,11762.82,1578744.12,income
2025-04-12,NETFLIX.COM,-43.19,1200065.2,entertainment
2025-04-12,MTN AIRTIME,-825.82,1654809.2,utilities
2025-04-13,MTN AIRTIME,-1308.62,880402.78,utilities
2025-04-13,BOLT RIDE,-1427.92,1689589.9,transport
2025-04-13,BOLT RIDE,-1070.08,416840.17,transport
2025-04-13,MTN AIRTIME,-1210.36,1675573.73,utilities
2025-04-13,VODACOM BILL,-40.53,1323594.32,utilities
2025-04-14,REFUND,15370.37,1038647.65,income
2025-04-15,MCDONALDS,-932.24,1575358.21,restaurants
2025-04-16,BOLT RIDE,-509.15,624456.83,transport
2025-04-16,CITY OF CAPE TOWN WATER,-260.53,1031285.5,utilities
2025-04-16,STEERS,-899.3,958645.81,restaurants
2025-04-17,UBER TRIP,-1313.07,1199980.16,transport
2025-04-18,FREELANCE PAYMENT,10682.9,556086.98,income
2025-04-19,FREELANCE PAYMENT,5873.65,572155.2,income
2025-04-21,CITY OF CAPE TOWN WATER,-1157.89,1405872.54,utilities
2025-04-21,CHECKERS,-675.94,575878.09,groceries
2025-04-21,KFC,-1059.96,109915.11,restaurants
2025-04-22,BP FUEL,-296.66,399886.85,transport
2025-04-22,DSTV,-838.89,879563.89,entertainment
2025-04-22,VODACOM BILL,-1301.6,1091220.44,utilities
2025-04-23,BP FUEL,-949.18,1196414.03,transport
2025-04-23,CITY OF CAPE TOWN WATER,-750.88,237177.66,utilities
2025-04-24,SPAR,-1034.26,1017265.39,groceries
2025-04-24,BP FUEL,-832.97,1500020.64,transport
2025-04-24,STEAM PURCHASE,-857.05,903399.99,entertainment
2025-04-25,MCDONALDS,-152.14,521776.75,restaurants
2025-04-25,STEAM PURCHASE,-1029.51,1718180.76,entertainment
2025-04-25,NETFLIX.COM,-1413.51,1024457.96,entertainment
2025-04-25,NETFLIX.COM,-1497.53,355469.23,entertainment
2025-04-26,MTN AIRTIME,-261.06,809264.56,utilities
2025-04-26,PICK N PAY,-1206.64,1090370.09,groceries
2025-04-26,STEERS,-862.61,426971.05,restaurants
2025-04-26,REFUND,20354.39,997293.83,income
2025-04-26,TRANSFER FROM SAVINGS,13673.64,1308051.46,income
2025-04-27,SALARY ACME LTD,21710.42,608709.82,income
2025-04-27,MCDONALDS,-1067.3,1727518.9,restaurants
2025-04-27,BP FUEL,-365.25,707471.51,transport
2025-04-29,PICK N PAY,-471.7,871228.01,groceries
2025-04-29,STEERS,-894.47,1680455.07,restaurants
2025-04-29,STEAM PURCHASE,-1109.68,1408543.18,entertainment
2025-04-30,VODACOM BILL,-77.07,238693.48,utilities
2025-04-30,UBER TRIP,-262.35,1026527.43,transport
2025-05-01,DSTV,-1460.7,1383228.42,entertainment
2025-05-01,NANDO'S,-93.62,573040.38,restaurants
2025-05-02,UBER TRIP,-1213.21,724754.47,transport
2025-05-02,DSTV,-1156.47,1339515.19,entertainment
2025-05-02,REFUND,7838.5,149526.01,income
2025-05-02,STEAM PURCHASE,-949.82,1034810.55,entertainment
2025-05-02,NETFLIX.COM,-232.37,520176.4,entertainment
2025-05-02,REFUND,24067.12,1520718.48,income
2025-05-03,FREELANCE PAYMENT,24033.14,1021326.97,income
2025-05-03,SPAR,-74.5,201781.69,groceries
2025-05-04,STEAM PURCHASE,-592.05,1231063.28,entertainment
2025-05-04,MCDONALDS,-427.43,1319159.87,restaurants
2025-05-04,ELECTRICITY PREPAID,-1018.39,453141.1,utilities
2025-05-05,REFUND,13750.22,411333.9,income
2025-05-06,SPOTIFY,-466.53,409723.5,entertainment
2025-05-07,SPOTIFY,-227.28,1090597.84,entertainment
2025-05-08,CHECKERS,-979.63,108935.48,groceries
2025-05-08,BOLT RIDE,-204.0,836740.74,transport
2025-05-08,SPOTIFY,-1393.12,1323634.85,entertainment
2025-05-08,REFUND,22527.07,765320.04,income
2025-05-09,STEAM PURCHASE,-91.05,405705.08,entertainment
2025-05-09,SPOTIFY,-780.96,566281.55,entertainment
2025-05-09,SALARY ACME LTD,3416.85,1158927.95,income
2025-05-09,MCDONALDS,-460.67,1079758.69,restaurants
2025-05-09,SPOTIFY,-1088.68,518130.66,entertainment
2025-05-10,NETFLIX.COM,-178.06,1681176.78,entertainment
2025-05-10,CITY OF CAPE TOWN WATER,-1024.6,606558.88,utilities
2025-05-10,CHECKERS,-195.3,1383414.23,groceries
2025-05-11,DSTV,-284.1,572615.63,entertainment
2025-05-11,STEERS,-253.01,957339.47,restaurants
2025-05-12,MTN AIRTIME,-487.66,1025871.47,utilities
2025-05-12,MTN AIRTIME,-1351.26,79120.24,utilities
2025-05-12,STEERS,-332.62,1294377.82,restaurants
2025-05-12,STEERS,-643.98,87375.07,restaurants
2025-05-13,MCDONALDS,-921.0,1099436.95,restaurants
2025-05-13,MTN AIRTIME,-1222.86,736482.14,utilities
2025-05-13,DSTV,-742.59,1137430.04,entertainment
2025-05-14,BOLT RIDE,-566.03,8530.72,transport
2025-05-14,PICK N PAY,-498.04,226069.84,groceries
2025-05-16,SHELL PETROL,-1439.63,1251380.68,transport
2025-05-16,KFC,-649.04,193286.01,restaurants
2025-05-16,UBER TRIP,-1007.79,1576686.55,transport
2025-05-16,UBER TRIP,-1407.51,703681.45,transport
2025-05-16,SHELL PETROL,-34.0,726546.92,transport
2025-05-18,PICK N PAY,-962.02,856799.74,groceries
2025-05-18,BOLT RIDE,-156.22,868046.32,transport
2025-05-18,SPOTIFY,-1361.35,404343.73,entertainment
2025-05-18,PICK N PAY,-1334.64,1691965.35,groceries
2025-05-18,STEERS,-928.72,1399329.02,restaurants
2025-05-19,FREELANCE PAYMENT,17064.03,1033797.27,income
2025-05-19,MTN AIRTIME,-279.07,571229.47,utilities
2025-05-20,STEAM PURCHASE,-374.46,1339051.02,entertainment
2025-05-20,VODACOM BILL,-450.15,1088620.29,utilities
2025-05-20,WOOLWORTHS,-326.08,662062.64,groceries
2025-05-20,WOOLWORTHS,-701.14,633230.78,groceries
2025-05-20,SALARY ACME LTD,16006.98,892398.8,income
2025-05-21,TRANSFER FROM SAVINGS,6368.2,639598.98,income
2025-05-21,STEAM PURCHASE,-474.58,1088145.71,entertainment
2025-05-21,UBER TRIP,-1206.91,1185285.38,transport
2025-05-22,CHECKERS,-971.93,1384863.8,groceries
2025-05-22,NETFLIX.COM,-1196.7,85924.37,entertainment
2025-05-22,STEERS,-1020.08,718975.32,restaurants
2025-05-22,MTN AIRTIME,-1310.43,1391651.86,utilities
2025-05-22,CHECKERS,-1193.61,861479.69,groceries
2025-05-23,TRANSFER FROM SAVINGS,10310.52,1596156.8,income
2025-05-23,WOOLWORTHS,-1108.74,526266.56,groceries
2025-05-23,WOOLWORTHS,-362.74,1411108.99,groceries
2025-05-23,NANDO'S,-813.53,873887.76,restaurants
2025-05-24,STEAM PURCHASE,-565.41,1195151.09,entertainment
2025-05-24,STEAM PURCHASE,-1045.64,196107.18,entertainment
2025-05-24,KFC,-851.28,1576290.45,restaurants
2025-05-24,TRANSFER FROM SAVINGS,5359.53,1189115.7,income
2025-05-25,CITY OF CAPE TOWN WATER,-141.02,450843.61,utilities
2025-05-26,CITY OF CAPE TOWN WATER,-679.99,5262.65,utilities
2025-05-26,CHECKERS,-1172.01,862437.69,groceries
2025-05-27,NETFLIX.COM,-770.51,567698.8,entertainment
2025-05-28,NETFLIX.COM,-655.68,1128288.96,entertainment
2025-05-28,KFC,-920.09,1199060.07,restaurants
2025-05-28,MCDONALDS,-1118.03,1588086.99,restaurants
2025-05-29,NANDO'S,-711.6,906758.95,restaurants
2025-05-29,UBER TRIP,-590.89,219233.89,transport
2025-05-29,MTN AIRTIME,-1076.57,1407466.61,utilities
2025-05-30,KFC,-693.41,1215089.39,restaurants
2025-05-30,DSTV,-333.76,143149.22,entertainment
2025-05-31,KFC,-1071.73,1061049.6,restaurants
2025-05-31,BP FUEL,-412.74,859613.0,transport
2025-06-01,MCDONALDS,-101.55,1411471.73,restaurants
2025-06-02,FREELANCE PAYMENT,9767.94,88592.65,income
2025-06-03,WOOLWORTHS,-793.76,1392962.29,groceries
2025-06-04,SPOTIFY,-385.27,197623.2,entertainment
2025-06-04,STEAM PURCHASE,-486.24,1035760.37,entertainment
2025-06-04,FREELANCE PAYMENT,24649.95,1284207.64,income
2025-06-05,CITY OF CAPE TOWN WATER,-1449.58,1679005.49,utilities
2025-06-05,ELECTRICITY PREPAID,-854.08,1657549.77,utilities
2025-06-05,REFUND,20355.08,744831.53,income
2025-06-05,DSTV,-123.95,904257.04,entertainment
2025-06-05,SHELL PETROL,-870.77,640331.56,transport
2025-06-05,REFUND,5019.39,1401726.51,income
2025-06-05,CITY OF CAPE TOWN WATER,-892.63,80848.3,utilities
2025-06-06,NETFLIX.COM,-555.72,1497543.8,entertainment
2025-06-06,NETFLIX.COM,-174.92,80471.5,entertainment
2025-06-06,PICK N PAY,-1280.39,726580.92,groceries
2025-06-06,STEERS,-470.38,197152.82,restaurants
2025-06-07,STEERS,-577.2,1496966.6,restaurants
2025-06-07,MTN AIRTIME,-1219.83,735024.17,utilities
2025-06-07,NETFLIX.COM,-1177.55,1092522.04,entertainment
2025-06-07,SHELL PETROL,-289.48,1307761.98,transport
2025-06-08,STEAM PURCHASE,-823.5,898716.36,entertainment
2025-06-08,DSTV,-615.39,1712045.36,entertainment
2025-06-08,REFUND,13334.8,1149398.29,income
2025-06-08,KFC,-730.81,621566.85,restaurants
2025-06-08,CITY OF CAPE TOWN WATER,-21.87,1689468.31,utilities
2025-06-08,SPOTIFY,-475.52,1394071.57,entertainment
2025-06-08,NANDO'S,-1235.9,1092397.85,restaurants
2025-06-08,SPOTIFY,-730.88,1403601.13,entertainment
2025-06-09,SALARY ACME LTD,3226.31,1468932.62,income
2025-06-10,MCDONALDS,-501.25,809856.26,restaurants
2025-06-10,UBER TRIP,-520.29,40115.57,transport
2025-06-11,SHELL PETROL,-793.37,218440.52,transport
2025-06-11,MTN AIRTIME,-348.42,1234829.65,utilities
2025-06-12,DSTV,-929.11,637983.63,entertainment
2025-06-12,ELECTRICITY PREPAID,-416.94,1382081.67,utilities
2025-06-12,MTN AIRTIME,-1422.95,1450650.55,utilities
2025-06-13,CHECKERS,-332.32,1717848.44,groceries
2025-06-13,FREELANCE PAYMENT,20062.92,625988.95,income
2025-06-13,BOLT RIDE,-311.88,862125.81,transport
2025-06-14,CITY OF CAPE TOWN WATER,-816.42,1585846.28,utilities
2025-06-14,BOLT RIDE,-556.59,1098016.07,transport
2025-06-14,DSTV,-595.8,397583.68,entertainment
2025-06-14,WOOLWORTHS,-334.38,1112092.57,groceries
2025-06-15,NETFLIX.COM,-352.18,65415.92,entertainment
2025-06-15,MCDONALDS,-303.33,85306.35,restaurants
2025-06-15,SPAR,-532.15,1016733.24,groceries
2025-06-15,NANDO'S,-236.8,1400442.0,restaurants
2025-06-16,TRANSFER FROM SAVINGS,21593.33,1503515.58,income
2025-06-16,UBER TRIP,-1483.68,742792.97,transport
2025-06-16,CITY OF CAPE TOWN WATER,-402.1,1689187.8,utilities
