date,transaction_type,description,amount,balance,category
2024-01-09,DEBIT ORDER,AMAZON ONLINE 303461,-1121.17,3367565.0,shopping
2024-01-09,DEBIT ORDER,SPAR CPT 40357892,-1786.22,2715437.52,groceries
2024-01-09,ATM WITHDRAWAL,BP 8518931 ZA,-1847.09,3422920.47,transport
2024-01-10,EFT,SHELL ONLINE 23217,-189.39,2322634.86,transport
2024-01-10,DEBIT ORDER,KFC 20359744 ZA,-681.81,1677266.4,restaurants
2024-01-10,ONLINE PAYMENT,SALARY ACME LTD,26685.26,408616.78,income
2024-01-10,DEBIT ORDER,TELKOM CPT 079973,-781.63,763250.39,utilities
2024-01-10,ATM WITHDRAWAL,WOOLWORTHS 5805 ZA,-1047.61,1233783.83,groceries
2024-01-10,ATM WITHDRAWAL,VODACOM 2405 ZA,-1716.52,359790.71,utilities
2024-01-10,ONLINE PAYMENT,STEERS ONLINE 819839,-661.93,1584708.54,restaurants
2024-01-11,CARD PURCHASE,STEERS ONLINE 42532110,-1157.38,2316557.38,restaurants
2024-01-11,DEBIT ORDER,PICK N PAY *182484,-1600.45,3449126.99,groceries
2024-01-11,EFT,KFC STORE 36425,-1004.31,1640428.19,restaurants
2024-01-11,CARD PURCHASE,SALARY ACME LTD,5658.85,712283.5,income
2024-01-11,DEBIT ORDER,TELKOM CPT 9875524,-1178.75,499210.21,utilities
2024-01-13,CARD PURCHASE,CHECKERS 6611435 ZA,-898.53,1975276.49,groceries
2024-01-13,ATM WITHDRAWAL,BP CPT 71918,-1039.55,3347272.09,transport
2024-01-13,ONLINE PAYMENT,DSTV CPT 9102,-563.12,3130617.86,entertainment
2024-01-13,EFT,VODACOM *24330,-408.87,3014658.33,utilities
2024-01-13,ONLINE PAYMENT,CITY OF CAPE TOWN ONLINE 197136,-1725.02,1986974.89,utilities
2024-01-13,EFT,TAKEALOT STORE 93008,-564.56,9435.44,shopping
2024-01-13,ATM WITHDRAWAL,NETFLIX ONLINE 7617162,-453.01,852106.54,entertainment
2024-01-13,POS,TELKOM *4132409,-190.74,3456250.94,utilities
2024-01-13,EFT,STEERS *2941485,-1913.85,2673602.9,restaurants
2024-01-14,POS,MTN *2659509,-445.29,1717189.84,utilities
2024-01-14,DEBIT ORDER,UBER ONLINE 5278,-1083.92,3442681.2,transport
2024-01-14,EFT,BANK INTEREST,26895.68,200930.26,income
2024-01-14,POS,SHELL CPT 12360,-1762.74,748714.86,transport
2024-01-14,POS,MAKRO *5535527,-1564.31,2507214.58,shopping
2024-01-14,ATM WITHDRAWAL,KFC CPT 50384,-777.33,3019831.4,restaurants
2024-01-14,POS,TAKEALOT *08245300,-1631.8,1947856.01,shopping
2024-01-14,DEBIT ORDER,GAME STORE 063877,-464.45,795296.01,shopping
2024-01-15,CARD PURCHASE,SHELL 42208 ZA,-662.26,50185.98,transport
2024-01-15,EFT,SHELL ONLINE 595496,-1429.34,3450524.94,transport
2024-01-15,EFT,BP *44446959,-818.91,1914728.9,transport
2024-01-15,POS,CHECKERS 759340 ZA,-1854.3,2014048.26,groceries
2024-01-15,ONLINE PAYMENT,NANDOS *296281,-1055.56,2762395.11,restaurants
2024-01-15,ONLINE PAYMENT,WOOLWORTHS *56872039,-704.74,3327635.82,groceries
2024-01-15,CARD PURCHASE,GAME ONLINE 9966,-1756.54,43423.69,shopping
2024-01-15,POS,UBER 04331489 ZA,-996.1,2933718.49,transport
2024-01-15,ONLINE PAYMENT,FREELANCE CLIENT,20439.36,2907261.23,income
2024-01-15,POS,SPAR *972248,-1859.43,595535.18,groceries
2024-01-16,ONLINE PAYMENT,SHELL CPT 2083,-1967.57,419015.08,transport
2024-01-16,DEBIT ORDER,CHECKERS ONLINE 9851663,-424.07,804672.06,groceries
2024-01-16,ONLINE PAYMENT,KFC *09280,-1145.51,2701671.65,restaurants
2024-01-17,EFT,SALARY ACME LTD,13751.78,2776146.89,income
2024-01-17,ONLINE PAYMENT,MCDONALDS *135714,-752.35,3434532.87,restaurants
2024-01-17,EFT,MCDONALDS *87733522,-1440.9,1612642.95,restaurants
2024-01-17,ONLINE PAYMENT,UBER CPT 6973221,-1744.86,1984229.33,transport
2024-01-17,POS,FREELANCE CLIENT,21116.01,3463034.71,income
2024-01-17,EFT,STEERS STORE 528630,-605.59,2810350.06,restaurants
2024-01-17,EFT,TAKEALOT STORE 63112,-1349.91,2835114.21,shopping
2024-01-17,CARD PURCHASE,AMAZON ONLINE 72600237,-43.67,1754597.08,shopping
2024-01-18,ONLINE PAYMENT,TELKOM CPT 11564,-883.86,835002.22,utilities
2024-01-18,DEBIT ORDER,WOOLWORTHS STORE 10758,-640.29,580886.67,groceries
2024-01-18,POS,BANK INTEREST,28569.63,2047820.16,income
2024-01-18,POS,FREELANCE CLIENT,23456.06,2099835.57,income
2024-01-18,CARD PURCHASE,WOOLWORTHS CPT 58467,-446.9,2826690.29,groceries
2024-01-19,ONLINE PAYMENT,NETFLIX 83113884 ZA,-371.1,1060009.69,entertainment
2024-01-19,POS,PICK N PAY CPT 8479,-1417.66,1360322.77,groceries
2024-01-19,EFT,TELKOM 5526600 ZA,-786.74,2010712.58,utilities
2024-01-20,POS,STEAM 9759657 ZA,-1226.52,757331.43,entertainment
2024-01-20,EFT,WOOLWORTHS CPT 2758083,-1127.9,3132890.55,groceries
2024-01-20,CARD PURCHASE,FREELANCE CLIENT,13658.77,3424342.09,income
2024-01-21,ATM WITHDRAWAL,WOOLWORTHS *10270,-1746.59,2995284.63,groceries
2024-01-21,CARD PURCHASE,MCDONALDS STORE 8056,-929.08,2633665.37,restaurants
2024-01-21,EFT,CITY OF CAPE TOWN 7476 ZA,-156.99,2702817.16,utilities
2024-01-22,POS,SPAR ONLINE 79459,-1098.55,2957635.37,groceries
2024-01-22,DEBIT ORDER,PICK N PAY STORE 2131581,-1908.56,2263556.21,groceries
2024-01-22,POS,SPOTIFY CPT 28439051,-1016.61,1138484.44,entertainment
2024-01-22,EFT,BOLT CPT 17401,-718.73,807840.24,transport
2024-01-22,ATM WITHDRAWAL,FREELANCE CLIENT,22536.73,1922380.04,income
2024-01-22,EFT,VODACOM ONLINE 6128,-1480.53,3334135.66,utilities
2024-01-22,CARD PURCHASE,NANDOS CPT 828215,-1629.03,563646.2,restaurants
2024-01-22,DEBIT ORDER,AMAZON *660631,-766.43,1212770.45,shopping
2024-01-22,DEBIT ORDER,MTN CPT 135217,-1789.3,2763450.67,utilities
2024-01-22,DEBIT ORDER,SHELL CPT 0476354,-1718.68,2483146.89,transport
2024-01-22,DEBIT ORDER,SALARY ACME LTD,9184.83,2594384.13,income
2024-01-23,ONLINE PAYMENT,SPOTIFY ONLINE 6637086,-1360.25,1625801.92,entertainment
2024-01-23,DEBIT ORDER,MAKRO CPT 38483,-741.31,38549.84,shopping
2024-01-23,POS,BANK INTEREST,16248.06,1997453.11,income
2024-01-23,POS,BP *90694172,-944.82,908641.86,transport
2024-01-23,DEBIT ORDER,GAME CPT 632700,-1351.87,2620714.78,shopping
2024-01-24,DEBIT ORDER,DSTV 197230 ZA,-295.12,2962467.64,entertainment
2024-01-24,POS,AMAZON ONLINE 3308613,-491.83,1490843.87,shopping
2024-01-24,ONLINE PAYMENT,STEERS 8982486 ZA,-1295.27,3305169.57,restaurants
2024-01-24,CARD PURCHASE,BP STORE 16604096,-962.39,1405901.66,transport
2024-01-24,POS,GAME CPT 98955698,-211.4,1919300.95,shopping
2024-01-24,CARD PURCHASE,SPAR ONLINE 578969,-709.0,2832273.68,groceries
2024-01-25,ONLINE PAYMENT,SALARY ACME LTD,14100.87,834362.99,income
2024-01-25,POS,UBER *19443,-386.13,3073001.79,transport
2024-01-25,POS,MTN CPT 8120,-668.47,3150285.42,utilities
2024-01-26,CARD PURCHASE,CHECKERS 26326 ZA,-1049.21,2847815.38,groceries
2024-01-27,ONLINE PAYMENT,STEAM ONLINE 5239,-1083.48,3364529.1,entertainment
2024-01-27,ATM WITHDRAWAL,KFC 79870123 ZA,-971.29,84166.59,restaurants
2024-01-27,DEBIT ORDER,BP ONLINE 75914651,-1460.93,1361740.43,transport
2024-01-28,ONLINE PAYMENT,MCDONALDS 247045 ZA,-1688.72,3338795.44,restaurants
2024-01-28,EFT,SPOTIFY *28001408,-1910.76,1915547.81,entertainment
2024-01-28,ATM WITHDRAWAL,SHELL 621973 ZA,-1983.54,3575906.55,transport
2024-01-28,ONLINE PAYMENT,SHELL *9944014,-481.06,3418685.69,transport
2024-01-28,EFT,UBER STORE 309073,-1016.77,1591598.75,transport
2024-01-29,POS,TELKOM 08603520 ZA,-1283.15,3442320.4,utilities
2024-01-29,POS,TAKEALOT *04028,-212.06,3422075.13,shopping
2024-01-29,EFT,VODACOM CPT 41201603,-723.94,2961122.02,utilities
2024-01-29,CARD PURCHASE,AMAZON 7862 ZA,-724.06,647808.15,shopping
2024-01-29,ATM WITHDRAWAL,KFC STORE 38543,-1156.38,3075139.67,restaurants
2024-01-29,EFT,PICK N PAY STORE 10942,-1488.37,3334039.75,groceries
2024-01-29,EFT,SPOTIFY ONLINE 97700,-1792.75,1961324.51,entertainment
2024-01-30,ONLINE PAYMENT,AMAZON ONLINE 934950,-950.38,2353240.97,shopping
2024-01-30,EFT,AMAZON CPT 78209000,-1398.23,1548458.74,shopping
2024-01-31,ONLINE PAYMENT,SALARY ACME LTD,23311.72,2765239.97,income
2024-01-31,EFT,BP CPT 2032618,-772.09,2932946.4,transport
2024-01-31,ATM WITHDRAWAL,CHECKERS STORE 90951787,-794.4,2007771.66,groceries
2024-01-31,ONLINE PAYMENT,BOLT CPT 0995,-195.59,1139501.05,transport
2024-01-31,ONLINE PAYMENT,SALARY ACME LTD,26364.36,764032.02,income
2024-01-31,EFT,WOOLWORTHS 45517587 ZA,-1473.79,2079986.91,groceries
2024-01-31,ATM WITHDRAWAL,GAME ONLINE 8755,-230.8,1983998.53,shopping
2024-01-31,ATM WITHDRAWAL,VODACOM CPT 298025,-1923.02,506608.71,utilities
2024-01-31,POS,TAKEALOT 405882 ZA,-971.03,3129646.83,shopping
2024-01-31,CARD PURCHASE,BP STORE 45051,-996.44,1815880.57,transport
2024-01-31,ONLINE PAYMENT,FREELANCE CLIENT,26676.19,177131.17,income
2024-02-01,DEBIT ORDER,SALARY ACME LTD,12902.11,2008957.97,income
2024-02-01,POS,SPAR STORE 390276,-1869.81,3432880.78,groceries
2024-02-02,EFT,NETFLIX *4170,-1024.21,1544119.36,entertainment
2024-02-02,CARD PURCHASE,FREELANCE CLIENT,18137.86,3263533.28,income
2024-02-02,CARD PURCHASE,SHELL 487626 ZA,-562.31,434701.49,transport
2024-02-02,ONLINE PAYMENT,VODACOM ONLINE 35612,-59.7,2727119.43,utilities
2024-02-02,ATM WITHDRAWAL,BANK INTEREST,7046.72,1842151.62,income
2024-02-03,DEBIT ORDER,NETFLIX 67141 ZA,-451.5,1524907.54,entertainment
2024-02-03,CARD PURCHASE,MAKRO CPT 9419,-1631.25,2388482.73,shopping
2024-02-03,CARD PURCHASE,STEAM STORE 866105,-132.06,1212350.1,entertainment
2024-02-03,ATM WITHDRAWAL,KFC STORE 0019255,-1043.3,1263691.92,restaurants
2024-02-03,POS,UBER STORE 872842,-1720.5,869590.71,transport
2024-02-03,ATM WITHDRAWAL,FREELANCE CLIENT,28335.06,3400869.04,income
2024-02-03,ATM WITHDRAWAL,MCDONALDS ONLINE 78435,-1699.49,2505515.09,restaurants
2024-02-04,CARD PURCHASE,STEAM 7888 ZA,-788.44,255149.07,entertainment
2024-02-04,ATM WITHDRAWAL,GAME ONLINE 92931,-1996.31,3433677.33,shopping
2024-02-04,DEBIT ORDER,TAKEALOT ONLINE 9814,-1362.65,465775.71,shopping
2024-02-04,POS,NANDOS ONLINE 774583,-1086.16,3369205.09,restaurants
2024-02-04,CARD PURCHASE,SHELL CPT 92760,-324.85,1308093.49,transport
2024-02-04,ATM WITHDRAWAL,MCDONALDS *1553190,-1264.7,3435285.22,restaurants
2024-02-04,DEBIT ORDER,VODACOM CPT 7610,-74.34,3188155.14,utilities
2024-02-05,ATM WITHDRAWAL,BANK INTEREST,19454.23,3595360.78,income
2024-02-05,CARD PURCHASE,SALARY ACME LTD,23430.72,1143667.84,income
2024-02-05,ONLINE PAYMENT,NANDOS 379311 ZA,-197.35,1246947.19,restaurants
2024-02-05,ATM WITHDRAWAL,DSTV *6963534,-1546.12,2886821.87,entertainment
2024-02-05,EFT,STEAM ONLINE 97499,-754.53,1538585.08,entertainment
2024-02-05,POS,KFC 821846 ZA,-1287.07,3365970.63,restaurants
2024-02-05,ATM WITHDRAWAL,GAME STORE 3027,-1373.9,2568985.82,shopping
2024-02-06,DEBIT ORDER,SPOTIFY ONLINE 083027,-1287.89,2098547.68,entertainment
2024-02-06,DEBIT ORDER,WOOLWORTHS 80584 ZA,-997.38,1531254.88,groceries
2024-02-06,DEBIT ORDER,CHECKERS STORE 536725,-1274.68,2800251.13,groceries
2024-02-06,ATM WITHDRAWAL,TAKEALOT STORE 95453899,-1736.42,1161351.13,shopping
2024-02-06,DEBIT ORDER,BOLT *7688882,-1495.48,1197891.71,transport
2024-02-06,DEBIT ORDER,MAKRO 8621 ZA,-1408.01,3378661.95,shopping
2024-02-06,DEBIT ORDER,STEERS CPT 5741038,-1726.29,41947.46,restaurants
2024-02-07,DEBIT ORDER,VODACOM STORE 8277235,-1178.48,449724.85,utilities
2024-02-07,CARD PURCHASE,MAKRO STORE 0800785,-657.78,45202.12,shopping
2024-02-07,ONLINE PAYMENT,CITY OF CAPE TOWN ONLINE 6798,-1475.03,3419903.27,utilities
2024-02-08,ATM WITHDRAWAL,MAKRO 85456 ZA,-1149.91,3118802.27,shopping
2024-02-08,ONLINE PAYMENT,TELKOM ONLINE 1650459,-929.88,3372332.12,utilities
2024-02-08,ONLINE PAYMENT,TELKOM 17327940 ZA,-1488.22,1644808.21,utilities
2024-02-09,ONLINE PAYMENT,FREELANCE CLIENT,22453.24,3125648.24,income
2024-02-09,EFT,TELKOM STORE 45867821,-1055.01,1945465.7,utilities
2024-02-09,POS,TAKEALOT *257095,-1917.24,1288187.27,shopping
2024-02-09,ATM WITHDRAWAL,BOLT CPT 8744218,-1294.08,299144.63,transport
2024-02-09,DEBIT ORDER,SALARY ACME LTD,26057.95,1670866.16,income
2024-02-09,ONLINE PAYMENT,MTN STORE 8308137,-1764.56,2935761.38,utilities
2024-02-09,ATM WITHDRAWAL,KFC STORE 2997,-1308.04,3027813.97,restaurants
2024-02-09,POS,VODACOM 8837 ZA,-185.22,2845561.01,utilities
2024-02-09,ONLINE PAYMENT,BP 81247939 ZA,-1360.11,509886.77,transport
2024-02-10,POS,TAKEALOT CPT 87861690,-117.55,2957517.82,shopping
2024-02-10,ATM WITHDRAWAL,PICK N PAY CPT 6547,-1019.08,2638569.46,groceries
2024-02-10,EFT,VODACOM 326119 ZA,-133.68,3133582.14,utilities
2024-02-10,ONLINE PAYMENT,TELKOM 8291 ZA,-75.99,2971098.75,utilities
2024-02-10,ONLINE PAYMENT,NANDOS 80471553 ZA,-235.38,2838350.48,restaurants
2024-02-10,DEBIT ORDER,NANDOS 876457 ZA,-1406.94,2967825.85,restaurants
2024-02-10,EFT,WOOLWORTHS 4553619 ZA,-1912.44,301637.87,groceries
2024-02-10,DEBIT ORDER,BOLT STORE 87650,-1387.82,437513.14,transport
2024-02-10,DEBIT ORDER,AMAZON 3913 ZA,-1506.42,1466681.33,shopping
2024-02-11,POS,FREELANCE CLIENT,8530.78,2849428.63,income
2024-02-11,CARD PURCHASE,SALARY ACME LTD,28713.67,75123.23,income
2024-02-11,DEBIT ORDER,FREELANCE CLIENT,7511.68,2801162.87,income
2024-02-11,EFT,BANK INTEREST,29879.91,1388713.74,income
2024-02-11,POS,CHECKERS CPT 5558697,-1289.65,2021820.11,groceries
2024-02-11,CARD PURCHASE,MCDONALDS ONLINE 79667,-1619.02,1262072.9,restaurants
2024-02-11,EFT,NETFLIX CPT 8440891,-1140.18,2755156.95,entertainment
2024-02-12,EFT,NETFLIX CPT 03312364,-1088.91,3591845.41,entertainment
2024-02-12,DEBIT ORDER,BOLT STORE 8191,-1296.68,1968863.24,transport
2024-02-12,ATM WITHDRAWAL,STEERS ONLINE 1672,-1591.3,3366670.74,restaurants
2024-02-12,ONLINE PAYMENT,STEERS ONLINE 87068696,-842.81,3360840.41,restaurants
2024-02-12,CARD PURCHASE,BOLT STORE 978775,-900.98,3372387.13,transport
2024-02-12,ATM WITHDRAWAL,UBER ONLINE 8289481,-1701.91,443306.56,transport
2024-02-12,ONLINE PAYMENT,TAKEALOT 151652 ZA,-346.55,960543.89,shopping
2024-02-13,ONLINE PAYMENT,SPOTIFY CPT 5433,-1796.25,2805974.24,entertainment
2024-02-13,ONLINE PAYMENT,BANK INTEREST,10857.67,3080684.3,income
2024-02-13,POS,BANK INTEREST,8480.75,684815.6,income
2024-02-13,ATM WITHDRAWAL,BOLT STORE 67495546,-1728.32,1960506.73,transport
2024-02-13,CARD PURCHASE,MCDONALDS ONLINE 19223,-66.21,3128881.75,restaurants
2024-02-14,CARD PURCHASE,BANK INTEREST,8855.78,2835546.07,income
2024-02-14,ONLINE PAYMENT,NANDOS CPT 610475,-1444.76,2679052.64,restaurants
2024-02-14,POS,TELKOM CPT 59028,-997.27,1818594.39,utilities
2024-02-14,EFT,NANDOS *6419183,-948.68,3131180.98,restaurants
2024-02-14,ATM WITHDRAWAL,GAME *590896,-794.07,3018778.41,shopping
2024-02-14,DEBIT ORDER,CITY OF CAPE TOWN 674228 ZA,-796.0,416786.0,utilities
2024-02-14,POS,SPOTIFY *3812043,-839.26,1960075.12,entertainment
2024-02-14,POS,SPOTIFY CPT 77001,-1443.6,1919512.35,entertainment
2024-02-15,EFT,BP 47614 ZA,-1615.79,174034.58,transport
2024-02-15,ATM WITHDRAWAL,BANK INTEREST,11633.98,1473120.47,income
2024-02-15,POS,MAKRO 04160 ZA,-1666.77,2971174.74,shopping
2024-02-15,POS,NANDOS CPT 5740311,-1510.22,1210062.39,restaurants
2024-02-16,EFT,NANDOS ONLINE 43086128,-1342.61,1094977.01,restaurants
2024-02-16,DEBIT ORDER,SHELL ONLINE 22409546,-268.9,2687748.02,transport
2024-02-17,EFT,TELKOM STORE 4615,-1472.53,3115127.38,utilities
2024-02-17,POS,STEAM *0922732,-1765.92,3425464.4,entertainment
2024-02-17,DEBIT ORDER,KFC CPT 2284608,-731.73,2348655.09,restaurants
2024-02-17,EFT,WOOLWORTHS 1578 ZA,-1428.99,599653.45,groceries
2024-02-17,DEBIT ORDER,VODACOM ONLINE 9142554,-1130.79,3344199.75,utilities
2024-02-18,ATM WITHDRAWAL,NETFLIX CPT 1287,-217.76,1583620.94,entertainment
2024-02-18,ATM WITHDRAWAL,BP *46336,-1338.7,362915.86,transport
2024-02-18,ONLINE PAYMENT,FREELANCE CLIENT,28430.28,2511577.17,income
2024-02-18,ATM WITHDRAWAL,VODACOM CPT 5750765,-991.73,2686756.29,utilities
2024-02-19,ATM WITHDRAWAL,GAME CPT 867684,-1865.55,2841651.81,shopping
2024-02-19,POS,CITY OF CAPE TOWN ONLINE 2685,-221.68,3453906.86,utilities
2024-02-19,POS,BOLT ONLINE 4246,-1350.03,3161879.7,transport
2024-02-19,DEBIT ORDER,GAME ONLINE 870874,-1864.85,3376424.54,shopping
2024-02-19,CARD PURCHASE,VODACOM CPT 07682888,-1078.31,3223678.73,utilities
2024-02-20,EFT,WOOLWORTHS *41151016,-1343.75,3306464.84,groceries
2024-02-20,ATM WITHDRAWAL,SPOTIFY STORE 74762180,-822.79,3354792.22,entertainment
2024-02-20,POS,FREELANCE CLIENT,13386.66,3047341.77,income
2024-02-20,ATM WITHDRAWAL,BP *45805860,-1618.32,2636951.14,transport
2024-02-20,EFT,MTN CPT 393115,-439.74,2992445.92,utilities
2024-02-20,ONLINE PAYMENT,TELKOM STORE 0197536,-1841.98,714359.2,utilities
2024-02-20,EFT,DSTV ONLINE 1980571,-189.28,2594194.85,entertainment
2024-02-20,POS,BANK INTEREST,24830.84,1091443.79,income
2024-02-20,ONLINE PAYMENT,KFC STORE 354903,-145.73,647662.42,restaurants
2024-02-21,POS,GAME 32743817 ZA,-332.23,1185216.22,shopping
2024-02-21,POS,KFC CPT 24470,-1253.85,3450779.09,restaurants
2024-02-21,POS,BP ONLINE 065369,-1871.93,3125072.72,transport
2024-02-21,EFT,STEAM CPT 8793159,-199.06,795760.46,entertainment
2024-02-21,POS,SALARY ACME LTD,7113.41,1216220.11,income
2024-02-21,CARD PURCHASE,UBER 5455 ZA,-301.63,1556101.23,transport
2024-02-21,DEBIT ORDER,WOOLWORTHS 32896010 ZA,-1562.24,1123145.45,groceries
2024-02-21,EFT,BOLT STORE 018915,-554.5,310580.6,transport
2024-02-22,POS,DSTV 83327 ZA,-1408.41,1314219.7,entertainment
2024-02-22,EFT,FREELANCE CLIENT,27248.92,1876164.53,income
2024-02-22,DEBIT ORDER,NANDOS *3217689,-1291.54,1209106.7,restaurants
2024-02-22,ONLINE PAYMENT,MAKRO STORE 39944317,-95.52,1922284.52,shopping
2024-02-23,ATM WITHDRAWAL,SPOTIFY 2732018 ZA,-706.29,1129200.64,entertainment
2024-02-23,EFT,NETFLIX 6929 ZA,-872.92,2548156.8,entertainment
2024-02-23,ONLINE PAYMENT,FREELANCE CLIENT,5256.14,2256009.54,income
2024-02-23,ATM WITHDRAWAL,WOOLWORTHS STORE 23204744,-1998.37,1213795.35,groceries
2024-02-23,ONLINE PAYMENT,TELKOM *39639,-1457.88,2220069.8,utilities
2024-02-23,ATM WITHDRAWAL,CHECKERS CPT 263344,-1101.36,3073387.92,groceries
2024-02-23,ONLINE PAYMENT,SALARY ACME LTD,17020.41,3035798.82,income
2024-02-23,EFT,PICK N PAY CPT 41229,-1007.96,3423191.47,groceries
2024-02-23,CARD PURCHASE,KFC ONLINE 29863,-636.5,1525359.04,restaurants
2024-02-24,DEBIT ORDER,BANK INTEREST,18359.4,500749.0,income
2024-02-24,ATM WITHDRAWAL,BANK INTEREST,8049.46,811021.06,income
2024-02-24,CARD PURCHASE,STEERS 98391961 ZA,-1770.37,3125705.08,restaurants
2024-02-24,DEBIT ORDER,VODACOM ONLINE 469038,-1755.95,1973520.54,utilities
2024-02-24,ATM WITHDRAWAL,MTN ONLINE 82990,-852.16,1530181.82,utilities
2024-02-24,POS,KFC ONLINE 39985015,-550.3,2809294.47,restaurants
2024-02-24,ONLINE PAYMENT,WOOLWORTHS STORE 5058,-1065.49,2122782.79,groceries
2024-02-24,POS,BOLT ONLINE 79709,-385.8,420816.12,transport
2024-02-24,ATM WITHDRAWAL,UBER STORE 9102,-1341.48,1234937.79,transport
2024-02-25,ONLINE PAYMENT,UBER ONLINE 86475425,-1414.52,1099774.44,transport
2024-02-25,DEBIT ORDER,STEERS *1343811,-1319.43,683189.34,restaurants
2024-02-26,DEBIT ORDER,STEAM ONLINE 1227,-204.54,2916635.18,entertainment
2024-02-26,POS,CHECKERS *27834678,-125.87,1141613.02,groceries
2024-02-26,CARD PURCHASE,WOOLWORTHS STORE 33586593,-1900.5,1662142.3,groceries
2024-02-26,EFT,SHELL STORE 8991962,-1413.92,1950381.68,transport
2024-02-26,EFT,NANDOS STORE 45418,-886.31,2255123.23,restaurants
2024-02-26,DEBIT ORDER,BANK INTEREST,24091.36,2940493.26,income
2024-02-26,EFT,SPOTIFY STORE 02653,-617.12,3124455.6,entertainment
2024-02-27,ATM WITHDRAWAL,MCDONALDS CPT 4737,-1322.49,1912717.01,restaurants
2024-02-27,CARD PURCHASE,SPOTIFY STORE 255716,-1622.77,113507.8,entertainment
2024-02-27,CARD PURCHASE,CITY OF CAPE TOWN ONLINE 3761433,-107.01,3382810.97,utilities
2024-02-27,DEBIT ORDER,WOOLWORTHS *05752,-1206.02,1060380.79,groceries
2024-02-27,ONLINE PAYMENT,NANDOS ONLINE 84952683,-1377.85,718140.73,restaurants
2024-02-28,POS,CHECKERS CPT 9548969,-1473.0,1183743.22,groceries
2024-02-28,DEBIT ORDER,GAME *72663,-1926.53,48196.01,shopping
2024-02-28,CARD PURCHASE,PICK N PAY CPT 36395,-1696.67,708190.99,groceries
2024-02-29,CARD PURCHASE,SPAR ONLINE 64671,-360.04,500388.96,groceries
2024-02-29,POS,NETFLIX STORE 391397,-199.69,3074939.98,entertainment
